step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,0.0,15.05596653362919,0.0,20.0251,0.04376,0.0
10,0.0,26.335799201775146,0.0,20.0565,0.049943,0.0
15,0.0,31.144962415234534,0.0,20.0949,0.039532,0.0
20,0.0,37.40308327894886,0.0,20.1336,0.053414,0.0
25,0.0,45.027625872225535,0.0,20.1703,0.051237,0.0
30,0.0,53.07472298023802,0.0,20.2056,0.053704,0.0
35,0.0,60.13421863519748,0.0,20.2425,0.046441,0.0
40,0.0,67.93052426914376,0.0,20.2804,0.050085,0.0
45,0.0,75.21282425553753,0.0,20.3213,0.050612,0.0
50,0.0,83.36081509429273,0.0,20.3615,0.048664,0.0
55,0.0,92.37005604582305,0.0,20.4003,0.049935,0.0
60,0.0,102.38959415666876,0.0,20.4599,0.054436,0.0
65,0.0,113.75393905297821,0.0,20.5323,0.048469,0.0
70,0.0,130.19644264508952,0.0,20.5982,0.045696,0.0
75,0.0,150.14198126729715,0.0,20.6567,0.04601,0.0
80,0.0,171.02795415730304,0.0,20.7092,0.046822,0.0
85,0.0,196.5384820686376,0.0,20.7548,0.046751,0.0
90,0.0,223.2051487353043,0.0,20.7962,0.050818,0.0
95,0.0,249.87181540197102,0.0,20.837,0.050083,0.0
100,0.0,276.5384820686376,0.0,20.8773,0.048868,0.0
105,0.0,303.2051487353042,0.0,20.9179,0.046031,0.0
110,0.0,329.87181540197076,0.0,20.9578,0.049627,0.0
115,0.0,356.53848206863734,0.0,21.005,0.049227,0.0
120,0.0,383.2051487353039,0.0,21.0644,0.05096,0.0
125,0.6239034829657915,398.08641717535613,0.1342,21.1413,0.052758,0.1342
130,3.7356062577013627,422.39600419669983,0.2428,21.2085,0.052162,0.2428
135,6.955732344204705,449.0626708633664,0.241,21.2664,0.047936,0.241
140,10.170524502781767,475.729337530033,0.2414,21.3242,0.05378,0.2414
145,13.852626791544491,502.39600419669955,0.3559,21.3833,0.04828,0.3559
150,20.371831467205716,529.0626708633663,0.5189,21.4425,0.045244,0.5189
155,27.209575513402054,555.7293375300331,0.5092,21.5078,0.056027,0.5092
160,33.60278101445955,587.7293375300333,0.4178,21.5594,0.047767,0.4178
165,37.49618132423667,635.7293375300331,0.2097,21.5458,0.050614,0.2097
170,40.91980721117883,662.3960041967,0.2876,21.5795,0.047827,0.2876
175,44.45286717875788,710.3960041966999,0.1938,21.5853,0.056772,0.1938
180,45.88943827541603,747.7293375300333,0.1069,21.5916,0.043246,0.1069
185,47.7989733442454,774.3960041967001,0.1297,21.625,0.059976,0.1297
190,48.201507910696414,801.062670863367,0.0,21.6657,0.045185,0.0
195,48.201507910696414,854.3960041967001,0.0,21.6834,0.049521,0.0
200,48.201507910696414,886.3960041967002,0.0,21.7191,0.050198,0.0
205,48.399113637009116,913.0626708633671,0.0515,21.7729,0.043637,0.0515
210,48.70648880034767,945.0626708633672,0.045,21.8259,0.050548,0.045
215,49.979953680486915,998.3960041967003,0.1286,21.8346,0.054647,0.1286
220,50.42916293906279,1051.7293375300337,0.0,21.8431,0.046048,0.0
225,50.631336413271534,1083.7293375300335,0.0,21.8786,0.043731,0.0
230,51.55323703852922,1131.7293375300337,0.0858,21.945,0.049139,0.1407
235,54.551747367466206,1217.062670863367,0.087,21.9572,0.051104,0.1721
240,56.268771611389624,1318.3960041967,0.1083,21.9164,0.049166,0.1684
245,58.3126713326099,1398.3960041967,0.1453,21.9195,0.052232,0.1967
250,60.876710373855616,1478.3960041967,0.1806,21.9224,0.044604,0.1806
255,64.58075722430999,1505.0626708633663,0.2137,21.9971,0.047429,0.3563
260,69.12532026225632,1585.0626708633663,0.249,22.0169,0.046169,0.2987
265,73.36563376109105,1665.0626708633663,0.2824,22.0164,0.046276,0.2824
270,78.1228434307419,1734.3960041966998,0.3114,22.0213,0.039593,0.3899
275,85.25172495240929,1798.3960041967,0.3419,22.062,0.051947,0.6317
280,91.56878438085491,1905.0626708633663,0.3716,22.0116,0.04293,0.4201
285,97.80765241713638,1969.0626708633665,0.3974,22.0422,0.047047,0.5254
290,107.59399347671517,2054.3960041967,0.4231,22.089,0.046527,0.7729
295,118.61091417182487,2145.0626708633667,0.4487,22.0989,0.047647,0.8775
300,131.7052790753605,2235.7293375300337,0.4741,22.1264,0.052688,1.003
305,145.23859111436428,2342.396004196701,0.5005,22.1104,0.047679,1.0704
310,159.486927817115,2422.396004196701,0.5482,22.1282,0.042632,1.0648
315,174.8292188359072,2481.062670863367,0.5972,22.1819,0.048489,1.2467
320,192.87532534580785,2566.3960041967007,0.646,22.223,0.042112,1.3547
325,211.9666845242827,2673.062670863368,0.69,22.2352,0.050678,1.4827
330,232.24402191542222,2779.7293375300355,0.7332,22.2471,0.043119,1.5891
335,254.2205974883448,2881.0626708633695,0.8226,22.2595,0.054458,1.6789
340,277.7717978529892,2961.0626708633695,0.8613,22.3099,0.062111,1.8454
345,303.6048843993417,3062.3960041967034,0.9357,22.3257,0.050019,1.9569
350,330.620083216828,3169.062670863371,0.9947,22.3226,0.041543,2.0266
355,358.80152388281357,3275.7293375300383,1.0373,22.3194,0.050362,2.1526
360,388.601190376103,3382.3960041967057,1.1271,22.3168,0.052863,2.3162
365,420.2109556298436,3462.3960041967057,1.1668,22.3479,0.048063,2.3846
370,452.31003733358455,3563.7293375300396,1.1944,22.3603,0.049614,2.4221
375,484.9037985578592,3670.396004196707,1.2217,22.3547,0.04129,2.4589
380,517.9759674148926,3766.3960041967075,1.2487,22.3651,0.044092,2.4947
385,551.8665182181976,3851.729337530041,1.2752,22.4127,0.048734,2.5972
390,586.0317230038268,3958.3960041967084,1.3011,22.4149,0.048418,2.5706
395,621.4100399405021,4038.3960041967084,1.3239,22.4528,0.047346,2.7166
400,658.6654844798855,4139.729337530041,1.3359,22.4704,0.050485,2.8036
405,696.9072802682514,4246.396004196707,1.3477,22.4713,0.050905,2.8733
410,736.7220119347212,4347.729337530039,1.3562,22.4752,0.047042,3.1072
415,779.2953374079093,4427.729337530039,1.3639,22.5181,0.053078,3.276
420,823.8870719677244,4529.062670863371,1.4106,22.535,0.04088,3.3361
425,868.41790622188,4619.729337530037,1.4558,22.5516,0.052278,3.3953
430,915.2970774606385,4710.396004196703,1.4758,22.5849,0.057274,3.5606
435,962.3679098048339,4817.062670863368,1.5328,22.5832,0.059176,3.5085
440,1009.6657930266717,4923.729337530033,1.5383,22.5794,0.052782,3.5829
445,1058.3701053063462,5003.729337530033,1.5442,22.616,0.043267,3.7098
450,1109.167982996053,5105.062670863365,1.5787,22.6316,0.051484,3.8407
455,1162.096838777968,5211.7293375300305,1.5901,22.6417,0.048997,4.014
460,1216.9783671580035,5318.396004196696,1.6149,22.656,0.04522,4.1609
465,1272.6524733979431,5425.062670863361,1.641,22.6669,0.054303,4.1959
470,1328.704209107144,5531.729337530026,1.6658,22.6777,0.047079,4.2437
475,1386.768753876994,5617.062670863359,1.689,22.718,0.050427,4.4313
480,1447.5292092347993,5697.062670863359,1.7169,22.7755,0.059599,4.6225
485,1511.257419644909,5782.396004196692,1.7444,22.8294,0.053808,4.9057
490,1577.3016490946857,5889.062670863357,1.8304,22.8439,0.039335,5.0047
495,1644.6657022703612,5995.729337530022,1.8632,22.8585,0.045936,5.0752
500,1713.0349888178564,6102.3960041966875,1.8845,22.8722,0.049357,5.1589
505,1782.9775646172054,6209.062670863353,1.9283,22.8875,0.047441,5.2807
