config	seed	edge_comfort	cent_comfort	comfort_pct	edge_energy	cent_energy	energy_pct	edge_aoi	cent_aoi	edge_msgs	cent_msgs
big_university	42	79278.1652	105547.0288	24.89	114425.54	109628.33	-4.38	0.00	19.36	27712	58478
big_university	7	79181.5753	108876.8619	27.27	114479.71	109177.88	-4.86	0.00	19.36	26539	56156
big_university	13	78820.5581	107517.0850	26.69	114703.59	109946.67	-4.33	0.00	19.46	28120	54718
big_university	99	79587.3515	112973.1969	29.55	114534.70	108921.67	-5.15	0.00	19.53	28169	57431
big_university	2025	79393.8840	106197.6900	25.24	114400.70	109725.00	-4.26	0.00	19.42	26651	53688
