step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,1.9710289539877957,95.59624556995936,0.0738,20.0233,0.049533,0.1474
10,4.895685685369896,173.81769249300464,0.0971,20.0492,0.050955,0.1941
15,8.588910536277773,251.89421055956493,0.1201,20.0751,0.050431,0.2398
20,13.036777083558897,329.5609680770855,0.1426,20.1012,0.05013,0.2848
25,18.22549938691038,408.54182729599364,0.1647,20.127,0.051398,0.3289
30,24.141532847861864,486.4927045757905,0.1864,20.1529,0.051002,0.3722
35,30.771596030822604,565.5831123720423,0.2078,20.1787,0.050159,0.4148
40,38.10267121839895,646.4983590213831,0.2287,20.204,0.048718,0.4565
45,46.21932344006043,722.3894899163787,0.2774,20.2303,0.049395,0.5267
50,56.715997948784306,804.3601005366377,0.4012,20.2661,0.047545,0.6981
55,70.03674795178641,888.2559152148899,0.5503,20.3017,0.050736,0.8663
60,86.12884420548292,972.526078073935,0.6965,20.3368,0.049569,1.0313
65,104.94117913842675,1060.2907363229915,0.8401,20.4253,0.051099,1.1933
70,126.68736841229193,1367.1585593646112,0.981,20.4848,0.050934,1.3949
75,152.04511179308727,1714.3541523913298,1.1194,20.5273,0.04767,1.6052
80,180.86077146524786,2069.686778067778,1.2552,20.5752,0.051591,1.8108
85,213.28198711139697,2444.349568347615,1.3886,20.618,0.04992,2.0483
90,250.08623827781037,2822.2882332301874,1.5195,20.6605,0.05197,2.3142
95,291.57637012719715,3279.8337402020557,1.6562,20.7365,0.048833,2.6596
100,342.62482504666826,3779.8337402020557,1.8229,20.801,0.049734,3.331
105,404.7411940771352,4279.833740202056,1.9872,20.8644,0.050805,3.9901
110,477.7539732356481,4779.833740202056,2.1495,20.9322,0.050849,4.6393
115,562.2143604653565,5279.833740202056,2.3155,21.0003,0.049943,5.3812
120,659.8250789366942,5779.833740202056,2.4808,21.0673,0.050068,6.173
125,771.8978363325848,6279.833740202056,2.6433,21.1424,0.052334,7.1041
130,899.7091620070113,6779.833740202056,2.8044,21.2188,0.053064,8.0433
135,1043.0280774433354,7279.833740202056,2.9634,21.2941,0.048076,8.9675
140,1202.983732881501,7779.833740202056,3.1241,21.3684,0.048271,10.0281
145,1380.780641510155,8279.833740202057,3.2837,21.4416,0.051662,11.0922
150,1576.159176090708,8779.833740202057,3.4413,21.5138,0.048899,12.141
155,1788.982646241018,9279.833740202057,3.5987,21.588,0.05189,13.1921
160,2019.4417485420008,9779.833740202057,3.7561,21.662,0.049757,14.2704
165,2268.8895018955463,10279.833740202057,3.9125,21.7349,0.049761,15.4291
170,2536.058060434874,10779.833740202057,4.0671,21.8021,0.049355,16.4005
175,2818.765229380452,11279.833740202057,4.2177,21.8672,0.048556,17.354
180,3117.7175557042706,11779.833740202057,4.3655,21.9314,0.049471,18.3119
185,3429.7691103181987,12279.833740202057,4.4055,21.9917,0.051399,18.966
190,3752.322896871545,12779.833740202057,4.4165,22.0507,0.049822,19.6058
195,4085.0388780078665,13279.833740202057,4.4321,22.1089,0.050557,20.2195
200,4428.610966546527,13779.833740202057,4.4475,22.1665,0.049941,20.8592
205,4783.430043228829,14279.833740202057,4.4599,22.2233,0.049038,21.582
210,5149.602566918771,14779.833740202057,4.4783,22.2794,0.049857,22.2416
215,5524.920296009622,15279.833740202057,4.4853,22.2882,0.048809,22.6766
220,5904.086547930076,15772.164827380384,4.4434,22.2997,0.049832,22.8911
225,6290.342460382627,16264.44027283647,4.4904,22.3092,0.050166,23.2666
230,6679.267345450164,16756.673208471173,4.4873,22.3149,0.051501,23.4059
235,7070.936033534544,17230.911972024285,4.4748,22.3234,0.050379,23.553
240,7466.337668010334,17721.388275226327,4.5044,22.3277,0.04959,23.8025
245,7859.06591642974,18099.387283967546,4.5205,22.2972,0.049086,23.4746
250,8251.714546101277,18458.752161255023,4.5936,22.2957,0.050355,23.4541
255,8641.282658706872,18736.78729491392,4.6703,22.2862,0.048086,23.4619
260,9029.720162724685,19210.756067177605,4.7481,22.2594,0.050477,23.1442
265,9416.04784101933,19469.20691023611,4.8173,22.2668,0.049146,23.2967
270,9801.038660802013,19893.31765330664,4.9033,22.2286,0.04962,22.9148
275,10183.634063651893,20239.80602760793,4.8381,22.224,0.047237,22.9038
280,10563.05175081484,20631.36703258992,4.8194,22.1982,0.051618,22.6447
285,10938.777241159441,21006.44970289767,4.7563,22.187,0.049858,22.4776
290,11313.865073534795,21385.336564868478,4.7835,22.169,0.051357,22.4522
295,11686.71923202452,21785.15548389626,4.8113,22.1602,0.049576,22.3736
300,12057.767439955225,22200.21385987092,4.75,22.1392,0.050857,22.2237
305,12427.859231335817,22664.52235134413,4.7516,22.1477,0.049116,22.2245
310,12798.821652592182,23155.790565453593,4.7206,22.1494,0.0501,22.227
315,13168.905766736143,23649.577246748635,4.6906,22.1513,0.051045,22.271
320,13540.1160547084,24141.189251166463,4.6842,22.1514,0.050195,22.1893
325,13910.995683139607,24641.189251166463,4.6615,22.1538,0.048646,22.3217
330,14281.961017752452,25121.22653022071,4.6605,22.1569,0.049928,22.2338
