step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,0.9933802075212486,12.500000000000004,0.1029,20.0088,0.049741,0.1029
10,1.544875099247776,45.83333333333334,0.0,19.9779,0.051865,0.0
15,1.544875099247776,49.191316630068535,0.0,19.9955,0.048215,0.0
20,1.544875099247776,75.55622779847367,0.0,19.9727,0.053265,0.0
25,1.544875099247776,81.36081540020405,0.0,20.0056,0.051765,0.0
30,1.544875099247776,98.29215953314532,0.0,20.0041,0.052617,0.0
35,1.544875099247776,113.49919347417293,0.0,20.0081,0.056506,0.0
40,1.544875099247776,122.7635868838818,0.0,20.0233,0.04661,0.0
45,1.544875099247776,139.71584877923,0.0,20.0267,0.04599,0.0
50,1.544875099247776,145.5897047299134,0.0,20.0661,0.051748,0.0
55,1.544875099247776,178.92303806324668,0.0,20.058,0.048902,0.0
60,1.544875099247776,182.83408265909094,0.0,20.0933,0.046089,0.0
65,1.5724684521148669,216.16741599242422,0.0,20.1188,0.045709,0.0
70,1.5724684521148669,225.44102426073883,0.0,20.1758,0.04887,0.0
75,1.711060126229356,258.7743575940721,0.0,20.1982,0.044413,0.0
80,1.75330101651318,270.9406359195018,0.0127,20.274,0.049718,0.0127
85,2.0475436593584586,304.27396925283523,0.0,20.3203,0.047054,0.0
90,2.1844794845862014,322.51918466846126,0.0411,20.3821,0.050194,0.0411
95,2.666554399026555,355.8525180017947,0.0,20.4247,0.04854,0.0
100,2.916303530311406,382.40764787839527,0.0673,20.4698,0.050074,0.0673
105,2.9535635014273733,414.04207954239445,0.0,20.5067,0.048591,0.0
110,3.3995665406718,440.5798061983909,0.0967,20.5521,0.048881,0.0967
115,3.5330755414149104,472.2390456710765,0.0,20.5888,0.052855,0.0
120,4.171941562490212,498.87600356181866,0.1236,20.6323,0.056658,0.1236
125,4.428449246706712,538.8760035618186,0.0,20.6763,0.041267,0.0
130,6.389550921475062,582.2093368951519,0.1426,20.6857,0.052981,0.1426
135,6.771651336966295,612.1939672094962,0.0,20.7502,0.049588,0.0
140,9.042308563489101,650.5042460143462,0.161,20.8038,0.054759,0.161
145,9.925932536139127,695.5042460143461,0.0183,20.8085,0.043927,0.0183
150,12.881645430250021,722.1709126810127,0.2965,20.8781,0.049438,0.2965
155,15.25895332509865,758.8375793476793,0.0677,20.94,0.055553,0.0885
160,18.407326658863933,805.5042460143459,0.3079,20.9342,0.044506,0.3079
165,21.935085597024855,855.5042460143458,0.1352,20.9668,0.051921,0.1849
170,26.773568991315745,913.837579347679,0.3131,20.9153,0.055101,0.3131
175,29.461822191348276,953.8375793476789,0.1408,20.9631,0.051224,0.1408
180,34.50827102298337,1007.1709126810122,0.3189,20.9563,0.051391,0.3189
185,36.42610981806269,1052.1709126810122,0.0426,20.9209,0.047168,0.0426
190,38.42165883858978,1080.5042460143457,0.0927,20.9417,0.050509,0.0927
195,39.745222253283785,1110.5042460143459,0.0751,20.9581,0.045817,0.0751
200,39.77697564778456,1155.5042460143459,0.0,20.9523,0.041256,0.0
205,40.12820128647853,1220.5042460143459,0.074,20.8454,0.045558,0.074
210,40.156168996525814,1245.564156944046,0.0,20.8663,0.047844,0.0
215,40.156168996525814,1273.4411349639727,0.0,20.8879,0.04919,0.0
220,41.393978229023375,1302.4870028102116,0.0722,20.9083,0.040238,0.0722
225,41.531929566952755,1327.4870028102116,0.0,20.9288,0.052849,0.0
230,41.71910901600463,1352.4870028102116,0.0,20.9497,0.044061,0.0
235,42.05998314022886,1377.4870028102116,0.0671,20.9711,0.050843,0.0671
240,42.7997469876148,1409.1536694768786,0.0738,20.9881,0.053144,0.0738
245,43.4620096341354,1440.8203361435453,0.1078,20.9838,0.046317,0.1078
