step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,1.9710289539877957,95.10635006254634,0.0738,20.0234,0.051907,0.1474
10,4.895685685369896,173.84216469766784,0.0971,20.0491,0.048878,0.1941
15,8.588910536277773,250.89137101483766,0.1201,20.0753,0.048964,0.2398
20,13.03677708355886,329.1913530480056,0.1426,20.1012,0.050421,0.2848
25,18.22549938690904,408.0123666753017,0.1647,20.1271,0.050883,0.3289
30,24.141532847848143,487.3513436744152,0.1864,20.1528,0.051286,0.3722
35,30.771596030752093,566.5756336317871,0.2078,20.1785,0.049241,0.4148
40,38.102671218173946,647.4848146639989,0.2287,20.2039,0.052488,0.4565
45,46.12199912996703,729.4486389876234,0.2493,20.2291,0.050324,0.4975
50,56.13845780618745,811.4557483996005,0.4012,20.265,0.049392,0.6695
55,68.98882176204489,895.17078944922,0.5503,20.3006,0.049309,0.8383
60,84.61972362481285,981.0432004569218,0.6965,20.3356,0.050552,1.0038
65,102.97968139751268,1074.3702953269903,0.8401,20.4236,0.049689,1.1664
70,124.12135956478167,1395.2696219393079,0.981,20.4801,0.048907,1.3469
75,148.69133127522392,1741.5631365257918,1.1194,20.523,0.050709,1.5584
80,176.73940282428524,2103.16437895443,1.2552,20.57,0.050245,1.7652
85,208.21760715288653,2476.910009124906,1.3886,20.6129,0.049606,1.9761
90,243.83638125540307,2853.2019346390916,1.5195,20.6549,0.050594,2.2437
95,284.6613316404927,3324.546382357242,1.6613,20.7297,0.051218,2.6421
100,335.0718197211618,3824.546382357242,1.8281,20.7943,0.050626,3.2928
105,396.55355025833114,4324.546382357242,1.9922,20.8579,0.050128,3.9517
110,468.9297472174806,4824.546382357242,2.1547,20.9259,0.050238,4.6038
115,552.6834160405406,5324.546382357242,2.3203,20.994,0.051208,5.3262
120,649.3817349549137,5824.546382357242,2.4856,21.0612,0.049607,6.1173
125,760.2609221957043,6324.546382357242,2.6486,21.1365,0.051021,7.0322
130,886.8730643129578,6824.546382357242,2.8095,21.213,0.051461,7.9712
135,1029.024282858282,7324.546382357242,2.9693,21.2885,0.050159,8.9043
140,1187.4774165004662,7824.546382357242,3.1298,21.3629,0.049642,9.9348
145,1363.7246115304347,8324.546382357243,3.2892,21.4362,0.049632,10.9994
150,1557.564450112928,8824.546382357243,3.4467,21.5085,0.049266,12.0491
155,1768.785489934531,9324.546382357243,3.6031,21.5828,0.049531,13.093
160,1997.7254196735482,9824.546382357243,3.7613,21.6569,0.050209,14.1769
165,2245.6144002243814,10324.546382357243,3.9175,21.73,0.050179,15.3353
170,2511.229822371305,10824.546382357243,4.0719,21.7973,0.048709,16.3076
175,2792.637732279719,11324.546382357243,4.2224,21.8625,0.051669,17.2611
180,3089.744485763526,11824.546382357243,4.37,21.9268,0.046996,18.2197
185,3400.4412535931287,12324.546382357243,4.4109,21.9871,0.049625,18.8555
