step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,2.9982898221207566,83.33333333333336,0.1508,20.0253,0.049549,0.3015
10,9.317407876845373,150.00000000000006,0.1982,20.0525,0.050294,0.3961
15,16.337830889074926,216.66666666666677,0.2192,20.0801,0.048827,0.4379
20,24.049294202712144,283.3333333333334,0.2399,20.1078,0.051252,0.4791
25,32.44027767876088,350.0,0.2602,20.1354,0.050339,0.5196
30,41.498972695388545,416.6666666666666,0.2802,20.163,0.049301,0.5594
35,51.2135831747419,483.33333333333314,0.2998,20.1905,0.050005,0.5984
40,61.572433003843926,549.9999999999999,0.3191,20.218,0.048906,0.6368
45,72.56400931801501,616.6666666666667,0.338,20.2455,0.052277,0.6745
50,85.49836697446551,683.3333333333336,0.4884,20.2838,0.050602,0.8433
55,101.21340282015078,750.0000000000005,0.6359,20.322,0.05102,1.0089
60,119.65682703358321,816.6666666666673,0.7806,20.36,0.050428,1.1714
65,140.77819702030075,883.3333333333342,0.9226,20.452,0.048992,1.3308
70,164.98318048291833,1216.6666666666679,1.062,20.5065,0.049146,1.5368
75,192.67914702641295,1550.0000000000016,1.1989,20.5513,0.0505,1.7444
80,223.82908327498365,1883.3333333333353,1.3333,20.6019,0.049303,1.9594
85,259.75352217453263,2241.6666666666683,1.4653,20.6482,0.050946,2.2619
90,300.07707340836487,2600.000000000001,1.5949,20.6931,0.050794,2.5237
95,346.46592216573146,3050.000000000001,1.7221,20.7696,0.049514,3.0046
100,402.8980909509503,3550.000000000001,1.879,20.8351,0.049427,3.6476
105,470.15461494036856,4050.000000000001,2.0414,20.898,0.050251,4.2924
110,548.040854661357,4550.000000000001,2.2016,20.9651,0.049065,4.9255
115,637.8124354462394,5050.000000000001,2.3679,21.0327,0.04825,5.7078
120,741.1815163955525,5550.000000000001,2.5319,21.0991,0.049142,6.53
125,859.0103049302659,6050.000000000001,2.6938,21.1738,0.047523,7.4453
130,992.3918980046059,6550.000000000001,2.8536,21.2497,0.049066,8.3727
135,1141.1253858294724,7050.000000000001,3.0122,21.3245,0.050616,9.2977
140,1306.7988848947136,7550.000000000001,3.1727,21.3983,0.052211,10.3669
145,1490.1396927765445,8050.000000000001,3.3312,21.4711,0.050513,11.4208
150,1690.8956894912367,8550.000000000002,3.4876,21.5428,0.049917,12.4597
155,1908.818795606535,9050.000000000002,3.642,21.6164,0.051512,13.4839
160,2144.7338255068835,9550.000000000002,3.7993,21.6901,0.048596,14.6178
165,2399.8748925437308,10050.000000000002,3.9547,21.7626,0.050145,15.7669
170,2672.578839015325,10550.000000000002,4.1082,21.8294,0.049662,16.7287
175,2960.5332396808735,11050.000000000002,4.2588,21.894,0.050469,17.6537
180,3264.577388213338,11550.000000000002,4.4045,21.9579,0.049743,18.6212
185,3581.3912680275484,12050.000000000002,4.4456,22.0177,0.049293,19.2296
190,3907.9208462408387,12550.000000000002,4.4565,22.0762,0.049823,19.8371
195,4244.946640491093,13050.000000000002,4.4703,22.1343,0.048939,20.4884
200,4593.270834369326,13550.000000000002,4.484,22.1914,0.048289,21.1731
205,4952.976627056646,14050.000000000002,4.4976,22.2479,0.050071,21.8541
210,5324.008955350908,14550.000000000002,4.5111,22.3035,0.048981,22.5602
215,5704.87671514421,15050.000000000002,4.5206,22.312,0.050616,22.9979
220,6089.767869465079,15536.66666666667,4.4891,22.3224,0.049176,23.1834
225,6479.745194574337,16023.333333333338,4.4649,22.3358,0.050435,23.5585
230,6873.483414497625,16516.66666666667,4.4409,22.339,0.047937,23.6114
235,7267.861246874107,17015.000000000004,4.4188,22.3418,0.050091,23.7685
240,7664.494391358147,17508.333333333332,4.4747,22.345,0.049319,23.768
245,8057.233001691169,18001.666666666664,4.5624,22.3005,0.049521,23.4303
250,8444.156109929807,18416.66666666666,4.6348,22.2629,0.050801,23.0742
255,8832.15379563703,18683.333333333332,4.706,22.2818,0.049576,23.4168
260,9219.234026035178,19118.333333333332,4.8208,22.2389,0.050652,23.0979
265,9606.309923809988,19358.333333333332,4.8886,22.2637,0.05059,23.3091
270,9993.209693560808,19774.999999999996,5.0171,22.2303,0.049878,23.1347
275,10376.11017470971,20108.333333333325,4.9497,22.229,0.049012,22.868
280,10756.759193029717,20473.333333333325,4.993,22.2046,0.047648,22.8894
285,11139.765535770215,20721.666666666653,5.0171,22.2123,0.0526,23.0019
290,11524.006689031143,21169.999999999985,4.9589,22.1956,0.049261,23.0161
295,11907.292935873464,21394.999999999985,4.8962,22.2023,0.052287,23.0043
300,12291.953177145155,21894.999999999985,5.0138,22.1778,0.050958,23.1514
305,12679.841782851929,22174.999999999985,5.0379,22.2112,0.051661,23.3208
310,13070.008186748084,22619.999999999985,5.0148,22.2333,0.04947,23.4908
315,13462.672715946292,23114.99999999998,4.9918,22.2332,0.049156,23.5095
320,13853.762549619461,23546.666666666642,5.0633,22.2422,0.049817,23.5327
325,14247.862407765339,24029.999999999975,5.1034,22.2496,0.04986,23.7078
330,14642.791016549083,24523.333333333303,5.0462,22.249,0.05018,23.6032
335,15036.34452366882,25021.666666666635,5.1173,22.2514,0.051912,23.7214
340,15430.833922320266,25521.666666666635,5.1007,22.2507,0.050077,23.5539
345,15824.420396621337,26021.666666666635,5.093,22.2533,0.050825,23.7331
350,16221.167900414268,26488.333333333307,5.2247,22.2607,0.051161,23.8183
355,16618.86279855544,26988.333333333307,5.1958,22.2617,0.049754,23.8907
360,17017.516481777442,27488.333333333307,5.1726,22.2631,0.050428,23.938
365,17417.267113875423,27988.333333333307,5.1112,22.314,0.049903,24.0178
370,17826.11926902114,28488.333333333307,5.2746,22.3714,0.049922,24.8717
375,18246.503052986467,28988.333333333307,5.2829,22.4257,0.047732,25.4561
380,18676.595281208265,29488.333333333307,5.2919,22.4793,0.049261,26.0411
385,19116.591345451667,29988.333333333307,5.3029,22.5319,0.049696,26.6338
390,19566.088321453084,30488.333333333307,5.3128,22.5835,0.048656,27.1896
395,20024.7079301792,30988.333333333307,5.3236,22.6342,0.049966,27.7499
400,20493.137833372508,31488.333333333307,5.3291,22.684,0.049269,28.3315
405,20970.461997424107,31988.333333333307,5.3452,22.7332,0.049052,28.8439
410,21457.32556372483,32488.333333333307,5.3513,22.7814,0.049583,29.4556
415,21953.21905465338,32988.33333333331,5.3672,22.8289,0.050352,29.9515
420,22457.79902623511,33488.33333333331,5.3781,22.8754,0.047697,30.4892
425,22969.964291240918,33988.33333333331,5.389,22.9168,0.050985,30.863
430,23487.931889483083,34488.33333333331,5.4029,22.9566,0.050418,31.2207
435,24012.20017105305,34988.33333333331,5.4167,22.9961,0.049511,31.6124
440,24542.58321990319,35488.33333333331,5.4287,23.0344,0.049816,31.9648
445,25078.965218517576,35988.33333333331,5.4362,23.0717,0.049138,32.334
450,25621.83981901977,36488.33333333331,5.4515,23.1092,0.05049,32.7174
455,26169.421215967184,36988.33333333331,5.4613,23.1432,0.051171,32.9462
460,26721.75805510821,37488.33333333331,5.4689,23.1766,0.049279,33.2964
465,27279.89317059634,37988.33333333331,5.4822,23.2098,0.051058,33.5613
470,27841.933637074602,38488.33333333331,5.4948,23.2423,0.050564,33.8521
475,28408.961607016736,38988.33333333331,5.5099,23.2744,0.048235,34.1265
480,28981.066333437855,39488.33333333331,5.5179,23.3053,0.052376,34.4733
485,29555.895657019773,39988.33333333331,5.5329,23.3021,0.052633,34.4336
490,30128.25413217211,40479.999999999985,5.4762,23.2914,0.049198,34.2777
495,30699.468636810034,40979.999999999985,5.5923,23.2811,0.049238,34.2997
500,31268.057229453272,41479.999999999985,5.5725,23.2682,0.050302,33.9183
505,31833.704435485208,41954.999999999985,5.5082,23.256,0.049374,33.953
510,32398.294009838308,42353.33333333332,5.6718,23.2754,0.048491,33.8249
515,32959.889139080595,42846.666666666664,5.5942,23.2619,0.050141,33.6018
520,33520.42704295851,43345.0,5.5801,23.248,0.050509,33.6532
525,34078.75465836014,43826.66666666668,5.5523,23.2358,0.050673,33.4046
530,34633.398005253286,44306.666666666686,5.6719,23.2281,0.04903,33.1836
535,35183.88864351432,44766.666666666686,5.6118,23.2228,0.052699,32.9817
540,35734.68169214748,45206.666666666686,5.5836,23.2251,0.049436,33.064
545,36281.38220288659,45590.000000000015,5.6988,23.1799,0.051006,32.5932
550,36821.20995467987,45915.00000000001,5.6691,23.1667,0.050584,32.2532
555,37355.34042000533,46298.333333333336,5.7838,23.1128,0.052177,31.9119
560,37883.65429601706,46623.33333333333,5.7118,23.0994,0.048257,31.5105
565,38402.31229595817,47003.33333333333,5.6636,23.0451,0.051996,30.9414
570,38917.90995346516,47263.33333333333,5.5867,23.0497,0.050138,30.9326
575,39429.08434598137,47646.66666666666,5.7021,22.996,0.049013,30.5344
580,39936.305047882786,47913.333333333314,5.6243,22.9984,0.04972,30.3668
585,40437.62602224841,48354.99999999998,5.7882,22.9312,0.05001,29.8893
590,40934.11216091477,48621.666666666635,5.7087,22.9337,0.050206,29.7235
595,41425.81413763015,49054.99999999997,5.8723,22.87,0.049921,29.3564
600,41913.41161874363,49288.333333333314,5.7913,22.8804,0.049239,29.1899
605,42393.333128394705,49724.99999999998,5.7747,22.8118,0.049517,28.5229
610,42865.939154804284,50004.99999999997,5.6958,22.8056,0.048549,28.1782
615,43328.406781461614,50419.99999999997,5.6667,22.7585,0.048808,27.5174
620,43783.75177409882,50833.3333333333,5.7818,22.7119,0.051606,27.1762
625,44232.36132677,51239.99999999996,5.7511,22.6679,0.04807,26.7521
630,44674.41951775518,51609.99999999997,5.8657,22.6314,0.050538,26.3573
635,45108.93313460329,51993.33333333331,5.785,22.5965,0.049214,25.8815
640,45535.643510878865,52401.66666666665,5.9487,22.5488,0.052595,25.4193
645,45957.999410325945,52699.99999999998,5.8664,22.5251,0.047073,25.2901
650,46378.22736927522,52946.666666666635,5.7859,22.5282,0.054046,25.1635
655,46793.36926933384,53374.99999999997,5.9498,22.4696,0.049638,24.7401
660,47204.44659308595,53588.333333333314,5.8675,22.4807,0.051412,24.6151
665,47607.90092335333,54088.333333333314,5.8454,22.4166,0.048271,23.9219
670,48004.29946972697,54213.333333333314,5.9722,22.4138,0.049573,23.7878
675,48397.0262668714,54653.333333333314,5.9891,22.367,0.050126,23.3383
680,48783.70907210728,54913.333333333314,5.9062,22.3639,0.050301,23.1104
685,49163.84922217847,55266.66666666664,6.0204,22.318,0.048735,22.6738
690,49541.013089961954,55546.666666666635,5.9506,22.314,0.047834,22.5351
695,49911.58941576436,55861.66666666664,5.9092,22.2772,0.052575,22.0616
700,50276.21533418787,56238.333333333314,5.926,22.2524,0.051911,21.7389
705,50634.87990335625,56604.999999999985,6.04,22.2067,0.050836,21.4026
710,50989.824787002544,56904.99999999999,5.9712,22.1975,0.050045,21.1656
715,51338.28618366233,57268.33333333332,5.948,22.1514,0.05261,20.7713
720,51682.22334363301,57559.999999999985,5.8662,22.1435,0.049214,20.5024
725,52019.844954155116,57831.66666666666,5.7861,22.1139,0.050678,20.2142
730,52356.16189278849,58146.666666666664,5.8045,22.1016,0.049067,20.0251
735,52685.38010641761,58458.333333333336,5.8703,22.0707,0.049666,19.6909
740,53012.46861188429,58778.33333333333,5.7899,22.0529,0.052586,19.4493
745,53331.28558620217,59036.66666666666,5.8083,22.0309,0.051703,19.0134
750,53646.4952681485,59406.66666666666,5.8867,22.0108,0.050679,18.8212
755,53957.61973158008,59781.666666666664,5.8249,21.9696,0.050289,18.5043
760,54263.688453221795,59913.33333333334,5.8915,21.974,0.049304,18.4019
765,54569.40669590896,60251.66666666668,5.9075,21.9584,0.049602,18.1751
770,54867.49135802418,60531.66666666668,5.8264,21.935,0.050392,17.6896
775,55161.11409683333,60675.00000000002,5.893,21.9415,0.050826,17.752
780,55457.29907974171,61025.000000000015,5.909,21.924,0.04965,17.587
785,55746.149461794965,61380.00000000002,5.828,21.8916,0.05069,17.2238
790,56033.09440199927,61555.00000000002,5.9433,21.8927,0.048933,17.2567
795,56318.34322307669,61780.00000000002,5.9099,21.8882,0.049782,16.9535
800,56597.03883238721,62121.6666666667,5.8289,21.8611,0.051274,16.5706
805,56875.214015071135,62411.66666666671,5.993,21.8567,0.051248,16.7704
810,57149.02019641739,62808.333333333365,5.9102,21.8042,0.048903,16.2027
815,57421.0567698893,62921.6666666667,6.0741,21.8336,0.052571,16.4019
820,57688.9845278208,63218.33333333338,5.9898,21.8082,0.048314,15.9593
825,57955.116641576074,63500.00000000006,5.9565,21.8027,0.049236,15.9318
830,58217.878746526985,63898.3333333334,6.1204,21.7656,0.049291,15.6559
835,58478.58565924728,64173.3333333334,6.0352,21.7479,0.050828,15.6192
840,58737.708957795505,64318.333333333394,6.0507,21.7543,0.049821,15.5004
845,58994.43279995718,64471.666666666715,6.1144,21.7647,0.050313,15.2923
850,59246.81690070608,64730.00000000004,6.1289,21.7588,0.05042,15.1402
855,59499.86646783174,64933.33333333336,6.192,21.7538,0.048305,15.1449
860,59749.891636988665,65116.66666666669,6.1057,21.7581,0.050661,14.8605
865,59994.80427191359,65423.33333333337,6.1204,21.7454,0.049783,14.7256
870,60241.508862939685,65800.00000000006,6.1837,21.7174,0.051382,14.6932
875,60481.79324185957,66070.00000000007,6.0976,21.694,0.049344,14.3299
880,60722.447511082835,66196.66666666673,6.063,21.7105,0.05033,14.4489
885,60960.51921449024,66348.33333333337,6.1269,21.7175,0.049381,14.1584
890,61193.253683532486,66555.00000000003,6.0419,21.7183,0.050768,13.8478
895,61423.966964064464,66638.33333333334,6.107,21.7337,0.048654,13.9699
900,61657.076073749005,67039.99999999999,6.1207,21.7147,0.04961,13.821
905,61884.19197530151,67266.66666666664,6.1353,21.6952,0.048366,13.672
910,62115.19986031358,67409.99999999999,6.2486,21.7166,0.049063,13.8692
915,62341.62028433427,67646.66666666666,6.1613,21.7037,0.047792,13.4499
920,62564.859138928114,67803.3333333333,6.1256,21.7108,0.051413,13.3689
925,62787.92431262731,68088.33333333328,6.2437,21.7109,0.049459,13.3786
930,63009.25903651446,68511.66666666661,6.1792,21.6593,0.051474,13.2148
935,63229.093799402195,68651.6666666666,6.343,21.6754,0.05065,13.174
940,63446.43680448983,68873.33333333328,6.2538,21.6682,0.04925,12.9522
945,63660.85858525226,69039.99999999996,6.1667,21.6725,0.049199,12.808
950,63876.28884306899,69183.33333333331,6.3307,21.6871,0.049895,13.0042
955,64090.82234851388,69366.66666666667,6.2419,21.6895,0.048176,12.7879
960,64303.901310513436,69633.33333333331,6.3555,21.6836,0.051126,12.8258
965,64518.08463559442,69966.66666666664,6.3663,21.6644,0.050712,12.834
970,64731.7570907309,70109.99999999996,6.4287,21.6665,0.052724,12.8293
975,64945.54513809841,70331.66666666663,6.4895,21.6719,0.047904,12.7901
980,65157.94836925362,70484.99999999997,6.4998,21.6725,0.048242,12.7816
985,65371.545652386114,70588.33333333328,6.509,21.6922,0.048949,12.7701
990,65583.60127197602,70899.99999999993,6.5192,21.6853,0.049345,12.761
995,65797.40948042327,71171.6666666666,6.5794,21.6655,0.050207,12.7884
1000,66008.8281914744,71304.99999999993,6.5887,21.6753,0.050943,12.6696
