step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,0.0,10.639789626445502,0.0,20.0292,0.048251,0.0
10,0.0,14.317599680858283,0.0,20.0707,0.047514,0.0
15,0.0,17.003233748398255,0.0,20.1136,0.0541,0.0
20,0.0,20.36314089012905,0.0,20.1562,0.04843,0.0
25,0.0,24.037579901420255,0.0,20.1978,0.046629,0.0
30,0.0,27.880037651963658,0.0,20.2393,0.044897,0.0
35,0.0,31.533896638718815,0.0,20.2807,0.045785,0.0
40,0.0,35.32077286375008,0.0,20.324,0.055707,0.0
45,0.0,39.45111747494981,0.0,20.3698,0.046369,0.0
50,0.0,43.846544381990725,0.0,20.4151,0.052505,0.0
55,0.0,48.45160942861029,0.0,20.4599,0.051781,0.0
60,0.0,53.451723181871046,0.0,20.5264,0.045602,0.0
65,0.0,59.398829510004504,0.0,20.6066,0.051344,0.0
70,0.0,65.25885392018836,0.0,20.6859,0.048734,0.0
75,0.0,70.14019281252327,0.0,20.7671,0.055133,0.0
80,0.0,77.07455996668128,0.0,20.8412,0.046935,0.0
85,0.0,101.71899095451589,0.0,20.8923,0.051001,0.0
90,0.0,130.58495936583444,0.0,20.9277,0.044157,0.0
95,0.0,160.58259621211707,0.0,20.9619,0.053656,0.0
100,0.0,190.56037259302937,0.0,20.9955,0.049851,0.0
105,0.0,220.7712864231644,0.0,21.0291,0.04381,0.0
110,0.0,250.88263649672786,0.0,21.0625,0.04252,0.0
115,0.0,281.1091017329652,0.0,21.1039,0.045418,0.0
120,0.058625111700621346,312.3757917921269,0.0082,21.1561,0.049976,0.0082
125,0.24587123346590067,344.5100832577446,0.018,21.2066,0.044192,0.018
130,0.5648138985632063,376.9549082473777,0.0279,21.2564,0.048071,0.0279
135,1.0175946310129118,410.1084807471087,0.038,21.3057,0.052419,0.038
140,1.60592894478241,444.0099127362514,0.0482,21.3525,0.049734,0.0482
145,2.3309983696279724,477.1011075517783,0.0585,21.3999,0.055637,0.0585
150,3.1938161509288907,514.2038714743284,0.0689,21.4505,0.050149,0.0689
155,4.195017898035549,566.820496552552,0.0792,21.4743,0.039677,0.0792
160,4.996439843917945,604.9314757055306,0.0053,21.4924,0.050027,0.0053
165,5.2613958243561,632.5604628891275,0.0286,21.5241,0.054554,0.0286
170,5.39055753100547,674.5405422563869,0.0,21.5309,0.051562,0.0
175,5.39055753100547,696.2055506374963,0.0,21.5826,0.045639,0.0
180,5.39055753100547,739.0628275505248,0.0,21.5922,0.053485,0.0
185,5.39055753100547,769.0491132341783,0.0,21.618,0.047629,0.0
190,5.39055753100547,802.8870729459485,0.0,21.6414,0.048984,0.0
195,5.39055753100547,833.9554697635349,0.0,21.7033,0.040095,0.0
200,5.39055753100547,884.3045174835164,0.0,21.7075,0.042257,0.0
205,5.39055753100547,909.7742206710958,0.0,21.7595,0.050542,0.0
210,5.39055753100547,960.0460635030298,0.0,21.7945,0.050992,0.0
215,5.39055753100547,1003.5931886133271,0.0,21.8105,0.056211,0.0
220,5.39055753100547,1047.1608244770764,0.0,21.8442,0.052879,0.0
225,5.39055753100547,1078.5443446581994,0.0,21.8654,0.048608,0.0
230,5.391459499269739,1137.4360605839815,0.0003,21.9374,0.046513,0.0003
235,5.7125210093888565,1200.8867103147172,0.042,21.9437,0.044144,0.042
240,6.629730900252923,1263.3187751817893,0.0863,21.9803,0.050812,0.0863
245,8.247451029918455,1343.4751765789533,0.1287,22.0046,0.055892,0.1399
250,10.448638872017302,1418.2330552253345,0.1696,21.9991,0.059381,0.2032
255,13.716812624450597,1500.4151527274119,0.2061,22.0052,0.051169,0.2308
260,17.049681404675567,1574.086556666899,0.2397,22.019,0.051925,0.2942
265,20.862185874934738,1657.612238698262,0.2723,22.016,0.050538,0.2827
270,25.16013931701599,1731.2939003594597,0.3037,22.0198,0.041873,0.378
275,30.095993552905583,1799.3256223029643,0.3342,22.0265,0.05413,0.3342
280,35.58360483615552,1869.4122323957376,0.4165,22.0405,0.053275,0.4625
