step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,2.9982898221207566,83.33333333333336,0.1508,20.0253,0.051328,0.3015
10,9.317407876845373,150.00000000000006,0.1982,20.0525,0.051347,0.3961
15,16.337830889074926,216.66666666666677,0.2192,20.0801,0.050554,0.4379
20,24.049294202712144,283.3333333333334,0.2399,20.1078,0.052562,0.4791
25,32.44027767876088,350.0,0.2602,20.1354,0.049346,0.5196
30,41.498972695388545,416.6666666666666,0.2802,20.163,0.048086,0.5594
35,51.2135831747419,483.33333333333314,0.2998,20.1905,0.048704,0.5984
40,61.572433003843926,549.9999999999999,0.3191,20.218,0.050628,0.6368
45,72.56400931801501,616.6666666666667,0.338,20.2455,0.048653,0.6745
50,85.49836697446551,683.3333333333336,0.4884,20.2838,0.05013,0.8433
55,101.21340282015078,750.0000000000005,0.6359,20.322,0.048225,1.0089
60,119.65682703358321,816.6666666666673,0.7806,20.36,0.050347,1.1714
65,140.77819702030075,910.0000000000007,0.9226,20.4497,0.051104,1.3308
70,165.63829463256283,1163.3333333333342,1.062,20.5158,0.04987,1.5983
75,194.3373226817188,1496.6666666666679,1.1989,20.5603,0.048035,1.8038
80,226.45593337204517,1830.0000000000016,1.3333,20.6105,0.050088,2.0167
85,264.1406991120101,2178.333333333335,1.4653,20.6585,0.049912,2.3876
90,306.525638550274,2536.6666666666674,1.5949,20.7031,0.050627,2.6461
95,355.8232151070849,3008.333333333334,1.7458,20.7776,0.048283,3.2158
100,415.96624435675557,3508.333333333334,1.9101,20.8414,0.049901,3.8689
105,486.87709354331196,4008.333333333334,2.0721,20.9042,0.049126,4.5103
110,568.5365717001212,4508.333333333334,2.2346,20.9714,0.049587,5.161
115,662.5844400483667,5008.333333333334,2.3985,21.0389,0.051118,5.9603
120,769.719295578331,5508.333333333334,2.5621,21.1053,0.048698,6.741
125,891.0339555121825,6008.333333333334,2.7236,21.1798,0.05113,7.6533
130,1027.8520760445592,6508.333333333334,2.883,21.2556,0.051767,8.5777
135,1180.0129750436047,7008.333333333334,3.0403,21.3304,0.049952,9.5116
140,1349.4214706006983,7508.333333333334,3.1994,21.4041,0.048451,10.5898
145,1536.4482188597808,8008.333333333334,3.3575,21.4768,0.049663,11.6408
150,1740.842141807498,8508.333333333334,3.5136,21.5484,0.049733,12.6769
155,1962.3559682543746,9008.333333333334,3.6677,21.6221,0.050353,13.6982
160,2201.816121138912,9508.333333333334,3.8247,21.6956,0.050394,14.8294
165,2460.4579512169066,10008.333333333334,3.9798,21.7681,0.049948,15.9759
170,2736.6189061122836,10508.333333333334,4.133,21.8348,0.050757,16.935
175,3028.299957382817,11008.333333333334,4.2813,21.8995,0.049996,17.8951
180,3336.2273129432274,11508.333333333334,4.4277,21.9633,0.051638,18.8422
185,3656.8199217323386,12008.333333333334,4.4674,22.0231,0.049679,19.4664
190,3987.282426181252,12508.333333333334,4.4781,22.0816,0.049379,20.0724
195,4328.197060597544,13008.333333333334,4.4916,22.1396,0.049319,20.7202
200,4680.388660368496,13508.333333333334,4.5051,22.1968,0.049734,21.4056
205,5043.923054092355,14008.333333333334,4.5184,22.2532,0.049291,22.0807
210,5418.794386206092,14508.333333333334,4.5346,22.3091,0.047865,22.7758
215,5803.610763869126,15008.333333333334,4.5496,22.3175,0.049355,23.3238
220,6196.430009206312,15501.66666666667,4.5204,22.3275,0.049661,23.6403
225,6592.6233580475955,16000.000000000004,4.4903,22.337,0.051199,23.9016
230,6993.1888965409025,16500.000000000004,4.6193,22.3398,0.051916,24.1372
235,7397.383131264927,16886.666666666675,4.6491,22.3608,0.049693,24.294
240,7804.374726225917,17358.333333333343,4.6327,22.3749,0.049043,24.5626
245,8211.050333295116,17825.000000000004,4.5882,22.3355,0.048641,24.2556
250,8612.309229870812,18225.000000000004,4.6337,22.3091,0.048821,23.9674
255,9011.866788717161,18458.333333333343,4.7049,22.3153,0.051931,24.033
260,9410.603997721777,18958.333333333343,4.7861,22.2827,0.050486,23.7865
265,9804.171320422836,19358.333333333343,4.8575,22.2561,0.05065,23.5102
270,10194.885215587867,19725.000000000004,4.9248,22.2403,0.048171,23.4272
275,10582.895901710877,20191.666666666664,4.8592,22.2075,0.05003,23.1427
280,10968.329894066057,20583.333333333325,4.9765,22.1843,0.051378,23.1775
285,11352.402978114344,20999.999999999985,4.9553,22.16,0.051368,22.8859
290,11732.801376030939,21399.999999999985,4.8897,22.1423,0.049609,22.8007
295,12113.26731542803,21806.666666666657,4.9617,22.1262,0.049622,22.8962
300,12494.702123407566,22281.666666666653,4.9865,22.0992,0.050102,22.772
305,12872.142315756602,22719.999999999985,4.9205,22.1093,0.048999,22.5803
310,13250.031698904493,23128.333333333325,4.9,22.1288,0.050541,22.7968
315,13632.676677119045,23628.333333333325,4.9739,22.1359,0.048876,23.0588
320,14017.179460804278,24094.999999999985,4.9533,22.1413,0.048344,23.0322
325,14401.276817964314,24594.999999999985,4.9386,22.1441,0.051162,23.0778
330,14787.58977378245,25028.333333333314,5.0688,22.1581,0.051169,23.2643
335,15177.755862138956,25528.333333333314,5.0702,22.1634,0.049945,23.5091
340,15571.378313464244,26013.333333333314,5.0358,22.1688,0.047194,23.6197
