step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,2.9982898221207566,80.00000000000003,0.1508,20.0253,0.050311,0.3015
10,8.458738844753409,146.66666666666674,0.1726,20.053,0.051882,0.345
15,14.637794807946115,213.33333333333346,0.1942,20.0807,0.050022,0.3878
20,21.524090019935286,280.0000000000001,0.2153,20.1083,0.050516,0.43
25,29.10547201780952,346.6666666666667,0.2361,20.136,0.05025,0.4714
30,37.369668999345535,413.33333333333326,0.2565,20.1636,0.050052,0.5121
35,46.304497406536235,479.99999999999983,0.2766,20.1912,0.049748,0.552
40,55.89793511686763,546.6666666666665,0.2962,20.2187,0.048536,0.5912
45,66.13814981481588,613.3333333333334,0.3156,20.2463,0.047883,0.6298
50,78.3348958792842,680.0000000000002,0.4664,20.2846,0.049282,0.7994
55,93.32578429012482,746.6666666666671,0.6142,20.3227,0.051124,0.9657
60,111.05825122520173,813.3333333333339,0.7593,20.3608,0.047323,1.129
65,131.48159010924746,880.0000000000008,0.9017,20.4528,0.051053,1.2893
70,156.94967326592464,1053.3333333333344,1.0416,20.5352,0.049262,1.6863
75,187.0790670929672,1386.666666666668,1.1788,20.5791,0.050389,1.8881
80,220.52848197144297,1730.0000000000018,1.3136,20.6278,0.049201,2.0856
85,257.6073753582393,2088.3333333333353,1.4459,20.6722,0.047783,2.3283
90,299.00019264854467,2446.666666666668,1.5758,20.7164,0.047644,2.5864
95,348.1500043184222,2833.333333333334,1.7034,20.8053,0.049686,3.2755
100,409.2544047591021,3333.333333333334,1.8684,20.8683,0.049195,3.9252
105,481.0718512486139,3833.333333333334,2.031,20.9303,0.049987,4.5634
110,563.6715304792039,4333.333333333334,2.1947,20.9968,0.052173,5.2162
115,658.2389055905893,4833.333333333334,2.3611,21.0636,0.051394,5.9877
120,765.7899550327238,5333.333333333334,2.5252,21.1293,0.049589,6.7617
125,887.3449107403279,5833.333333333334,2.6872,21.2032,0.048307,7.6667
130,1024.3626059141802,6333.333333333334,2.847,21.2784,0.050578,8.5887
135,1176.6517426968726,6833.333333333334,3.0058,21.3525,0.050768,9.5107
140,1345.826945578817,7333.333333333334,3.1663,21.4257,0.051154,10.575
145,1532.5877479710437,7833.333333333334,3.3248,21.4978,0.049077,11.6241
150,1736.6838395114596,8333.333333333334,3.4813,21.5688,0.052334,12.6582
155,1957.9582440696431,8833.333333333334,3.6378,21.642,0.049562,13.6956
160,2196.9651137270175,9333.333333333334,3.7952,21.715,0.050923,14.7905
165,2454.9459533768704,9833.333333333334,3.9506,21.787,0.051102,15.9357
170,2730.4240760330367,10333.333333333334,4.1041,21.8532,0.049185,16.8935
175,3021.6414655147623,10833.333333333334,4.2518,21.9174,0.050986,17.87
180,3328.694823317052,11333.333333333334,4.4006,21.9806,0.049938,18.7781
185,3648.6295056859135,11833.333333333334,4.4386,22.04,0.050282,19.437
190,3977.6457554410617,12333.333333333334,4.4541,22.0978,0.048624,19.9428
195,4316.847978174634,12833.333333333334,4.464,22.1553,0.048677,20.6655
200,4667.842354049607,13333.333333333334,4.4807,22.212,0.047468,21.2965
205,5030.49574268074,13833.333333333334,4.4891,22.268,0.05009,22.0664
